cluster,depth,startdate,type,sequence,seqdep,phase
7,10.0,2003-10-31,E,E7,E7,0
11,10.0,2003-11-02,E,E11,E11,0
14,33.0,2003-11-05,E,E14,E14,1
11,113.7,2003-11-06,E,E11,E11D,1
9,10.0,2003-11-09,E,E9,E9,1
1,101.0,2003-11-11,E,E1,E1D,2
11,33.0,2003-11-11,E,E11,E11,2
11,33.0,2003-11-11,E,E11,E11,2
6,33.0,2003-11-12,E,E6,E6,2
7,384.9,2003-11-12,E,E7,E7DD,2
11,10.0,2003-11-13,E,E11,E11,2
11,10.0,2003-11-14,E,E11,E11,2
5,33.0,2003-11-17,E,E5,E5,2
6,35.0,2003-11-18,E,E6,E6,2
11,35.0,2003-11-25,E,E11,E11,0
13,10.0,2003-12-01,E,E13,E13,0
7,10.0,2003-12-05,E,E7,E7,1
5,33.0,2003-12-09,E,E5,E5,1
8,10.0,2003-12-10,E,E8,E8,2
9,10.0,2003-12-21,E,E9,E9,3
0,8.38,2003-12-22,E,E0,E0,3
11,10.0,2003-12-25,E,E11,E11,0
11,10.0,2003-12-25,E,E11,E11,0
11,34.6,2003-12-25,E,E11,E11,0
14,33.0,2003-12-25,E,E14,E14,0
11,10.0,2003-12-26,E,E11,E11,0
13,10.0,2003-12-26,E,E13,E13,0
11,10.0,2003-12-27,E,E11,E11,0
11,10.0,2003-12-27,E,E11,E11,0
11,10.0,2003-12-27,E,E11,E11,0
11,10.0,2003-12-27,E,E11,E11,0
7,33.0,2003-12-29,E,E7,E7,0
0,29.4,2004-01-01,E,E0,E0,1
11,10.0,2004-01-03,E,E11,E11,1
11,10.0,2004-01-03,E,E11,E11,1
11,10.0,2004-01-03,E,E11,E11,1
11,22.0,2004-01-03,E,E11,E11,1
11,10.0,2004-01-03,E,E11,E11,1
11,57.7,2004-01-09,E,E11,E11,2
11,673.1,2004-01-11,E,E11,E11DD,2
2,5.3,2004-01-11,E,E2,E2,2
7,,2004-01-14,V,V7,V7,2
8,,2004-01-14,V,V8,V8,2
11,10.0,2004-01-15,E,E11,E11,2
14,10.0,2004-01-16,E,E14,E14,2
11,,2004-01-20,V,V11,V11,3
11,129.8,2004-01-25,E,E11,E11D,0
6,17.4,2004-01-28,E,E6,E6,0
4,10.0,2004-01-29,E,E4,E4,0
6,,2004-01-29,V,V6,V6,0
14,29.2,2004-02-04,E,E14,E14,1
6,16.6,2004-02-05,E,E6,E6,1
6,10.0,2004-02-07,E,E6,E6,2
6,25.7,2004-02-08,E,E6,E6,2
9,,2004-02-12,V,V9,V9,2
11,,2004-02-16,V,V11,V11,3
5,,2004-02-16,V,V5,V5,3
5,,2004-02-17,V,V5,V5,3
11,84.0,2004-02-20,E,E11,E11D,3
3,10.0,2004-02-21,E,E3,E3,0
10,42.0,2004-02-22,E,E10,E10,0
11,31.0,2004-02-23,E,E11,E11,0
9,0.0,2004-02-24,E,E9,E9,0
7,,2004-02-25,V,V7,V7,0
11,10.0,2004-02-26,E,E11,E11,0
2,10.0,2004-02-26,E,E2,E2,0
14,28.0,2004-03-02,E,E14,E14,1
14,,2004-03-03,V,V14,V14,1
8,,2004-03-05,V,V8,V8,1
11,7.0,2004-03-07,E,E11,E11,1
14,10.0,2004-03-08,E,E14,E14,2
11,18.4,2004-03-09,E,E11,E11,2
11,271.5,2004-03-12,E,E11,E11D,2
11,12.0,2004-03-14,E,E11,E11,2
11,,2004-03-15,V,V11,V11,2
3,289.8,2004-03-17,E,E3,E3D,3
9,24.5,2004-03-17,E,E9,E9,3
11,10.0,2004-03-18,E,E11,E11,3
11,,2004-03-19,V,V11,V11,3
13,8.0,2004-03-27,E,E13,E13,0
14,,2004-03-31,V,V14,V14,1
6,,2004-04-02,V,V6,V6,1
7,31.0,2004-04-03,E,E7,E7,1
11,8.0,2004-04-05,E,E11,E11,1
13,187.1,2004-04-05,E,E13,E13D,1
4,10.0,2004-04-08,E,E4,E4,2
11,228.4,2004-04-09,E,E11,E11D,2
6,20.0,2004-04-11,E,E6,E6,2
7,41.8,2004-04-11,E,E7,E7,2
1,,2004-04-12,V,V1,V1,2
11,,2004-04-12,V,V11,V11,2
11,143.5,2004-04-14,E,E11,E11D,3
7,51.3,2004-04-14,E,E7,E7,3
9,12.2,2004-04-14,E,E9,E9,3
11,10.0,2004-04-15,E,E11,E11,3
10,44.5,2004-04-16,E,E10,E10,3
11,10.0,2004-04-16,E,E11,E11,3
11,35.0,2004-04-22,E,E11,E11,0
11,10.0,2004-04-22,E,E11,E11,0
6,65.8,2004-04-23,E,E6,E6,0
11,8.0,2004-04-24,E,E11,E11,0
11,10.0,2004-04-27,E,E11,E11,0
14,10.0,2004-04-29,E,E14,E14,1
6,,2004-05-01,V,V6,V6,1
2,,2004-05-02,V,V2,V2,1
3,21.0,2004-05-03,E,E3,E3,1
11,14.0,2004-05-07,E,E11,E11,2
9,,2004-05-08,V,V9,V9,2
10,21.0,2004-05-11,E,E10,E10,2
11,10.0,2004-05-13,E,E11,E11,2
8,20.0,2004-05-19,E,E8,E8,3
0,,2004-05-26,V,V0,V0,0
13,17.0,2004-05-28,E,E13,E13,1
7,16.0,2004-05-29,E,E7,E7,1
11,43.1,2004-06-02,E,E11,E11,1
6,,2004-06-02,V,V6,V6,1
8,,2004-06-03,V,V8,V8,1
10,,2004-06-08,V,V10,V10,2
11,10.0,2004-06-09,E,E11,E11,2
7,188.6,2004-06-10,E,E7,E7D,2
3,37.8,2004-06-15,E,E3,E3,3
10,,2004-06-22,V,V10,V10,0
2,,2004-06-24,V,V2,V2,0
6,70.5,2004-06-25,E,E6,E6D,0
5,20.0,2004-06-28,E,E5,E5,1
14,9.0,2004-06-29,E,E14,E14,1
6,90.8,2004-06-30,E,E6,E6D,1
11,10.0,2004-07-01,E,E11,E11,1
6,,2004-07-03,V,V6,V6,1
5,,2004-07-04,V,V5,V5,2
4,10.0,2004-07-08,E,E4,E4,2
7,128.5,2004-07-08,E,E7,E7D,2
13,13.0,2004-07-11,E,E13,E13,2
4,12.0,2004-07-11,E,E4,E4,2
11,565.5,2004-07-15,E,E11,E11DD,3
11,10.0,2004-07-16,E,E11,E11,3
14,,2004-07-16,V,V14,V14,3
5,23.7,2004-07-19,E,E5,E5,0
14,,2004-07-19,V,V14,V14,0
7,,2004-07-20,V,V7,V7,0
8,20.9,2004-07-22,E,E8,E8,0
10,582.1,2004-07-25,E,E10,E10DD,0
6,13.4,2004-07-28,E,E6,E6,1
3,,2004-07-29,V,V3,V3,1
4,10.0,2004-08-01,E,E4,E4,1
10,,2004-08-05,V,V10,V10,2
3,,2004-08-05,V,V3,V3,2
5,8.0,2004-08-07,E,E5,E5,2
13,207.0,2004-08-10,E,E13,E13D,2
3,5.0,2004-08-28,E,E3,E3,1
11,,2004-09-01,V,V11,V11,1
7,,2004-09-01,V,V7,V7,1
11,10.0,2004-09-03,E,E11,E11,2
7,14.0,2004-09-05,E,E7,E7,2
7,10.0,2004-09-05,E,E7,E7,2
3,10.0,2004-09-06,E,E3,E3,2
7,10.0,2004-09-06,E,E7,E7,2
3,22.3,2004-09-07,E,E3,E3,2
9,,2004-09-07,V,V9,V9,2
7,21.2,2004-09-08,E,E7,E7,2
14,25.2,2004-09-09,E,E14,E14,2
3,63.9,2004-09-11,E,E3,E3,3
7,8.0,2004-09-13,E,E7,E7,3
8,115.4,2004-09-15,E,E8,E8D,0
7,,2004-09-15,V,V7,V7,0
5,25.0,2004-09-19,E,E5,E5,0
2,10.0,2004-09-28,E,E2,E2,1
12,,2004-10-01,V,V12,V12,2
6,,2004-10-01,V,V6,V6,2
1,7.2,2004-10-04,E,E1,E1,2
6,10.0,2004-10-06,E,E6,E6,2
11,36.0,2004-10-08,E,E11,E11,2
8,105.0,2004-10-08,E,E8,E8D,2
14,35.0,2004-10-09,E,E14,E14,3
8,94.0,2004-10-15,E,E8,E8D,0
6,,2004-10-18,V,V6,V6,0
11,59.8,2004-10-20,E,E11,E11,0
7,10.5,2004-10-23,E,E7,E7,1
7,10.0,2004-10-23,E,E7,E7,1
7,16.0,2004-10-23,E,E7,E7,1
8,,2004-10-23,V,V8,V8,1
11,,2004-10-24,V,V11,V11,1
3,10.0,2004-10-26,E,E3,E3,1
3,10.0,2004-10-26,E,E3,E3,1
7,14.1,2004-10-27,E,E7,E7,1
9,,2004-11-01,V,V9,V9,2
5,10.0,2004-11-02,E,E5,E5,2
1,10.0,2004-11-03,E,E1,E1,2
11,125.7,2004-11-05,E,E11,E11D,2
14,,2004-11-05,V,V14,V14,2
7,474.0,2004-11-07,E,E7,E7DD,2
14,,2004-11-07,V,V14,V14,2
8,29.0,2004-11-08,E,E8,E8,3
11,13.0,2004-11-09,E,E11,E11,3
11,10.0,2004-11-11,E,E11,E11,3
6,10.0,2004-11-11,E,E6,E6,3
6,10.0,2004-11-11,E,E6,E6,3
7,32.8,2004-11-11,E,E7,E7,3
3,568.7,2004-11-12,E,E3,E3DD,3
14,15.0,2004-11-15,E,E14,E14,0
11,55.7,2004-11-16,E,E11,E11,0
11,622.6,2004-11-17,E,E11,E11DD,0
14,16.0,2004-11-20,E,E14,E14,0
14,40.6,2004-11-20,E,E14,E14,0
11,256.1,2004-11-21,E,E11,E11D,1
14,14.0,2004-11-21,E,E14,E14,1
11,10.0,2004-11-22,E,E11,E11,1
11,,2004-11-24,V,V11,V11,1
6,10.0,2004-11-26,E,E6,E6,1
4,10.0,2004-11-28,E,E4,E4,1
6,23.1,2004-11-28,E,E6,E6,1
7,39.0,2004-11-28,E,E7,E7,1
7,,2004-11-30,V,V7,V7,2
14,,2004-12-03,V,V14,V14,2
11,439.2,2004-12-06,E,E11,E11DD,2
7,35.0,2004-12-06,E,E7,E7,2
14,62.3,2004-12-13,E,E14,E14,0
14,10.0,2004-12-14,E,E14,E14,0
7,11.0,2004-12-18,E,E7,E7,0
4,10.0,2004-12-22,E,E4,E4,1
11,10.0,2004-12-23,E,E11,E11,1
10,30.0,2004-12-26,E,E10,E10,1
10,17.8,2004-12-26,E,E10,E10,1
10,13.3,2004-12-26,E,E10,E10,1
10,26.4,2004-12-26,E,E10,E10,1
10,39.2,2004-12-26,E,E10,E10,1
10,16.1,2004-12-26,E,E10,E10,1
10,30.0,2004-12-26,E,E10,E10,1
10,30.0,2004-12-26,E,E10,E10,1
10,30.0,2004-12-26,E,E10,E10,1
10,30.0,2004-12-26,E,E10,E10,1
10,30.0,2004-12-26,E,E10,E10,1
10,35.0,2004-12-27,E,E10,E10,1
10,8.0,2004-12-29,E,E10,E10,2
10,12.0,2004-12-29,E,E10,E10,2
10,11.0,2004-12-31,E,E10,E10,2
10,14.0,2004-12-31,E,E10,E10,2
10,11.7,2005-01-01,E,E10,E10,2
10,55.4,2005-01-01,E,E10,E10,2
10,30.0,2005-01-02,E,E10,E10,2
11,10.0,2005-01-03,E,E11,E11,2
10,23.2,2005-01-04,E,E10,E10,2
5,,2005-01-04,V,V5,V5,2
3,10.0,2005-01-08,E,E3,E3,3
10,40.0,2005-01-09,E,E10,E10,3
0,,2005-01-09,V,V0,V0,3
9,10.0,2005-01-12,E,E9,E9,0
11,10.0,2005-01-14,E,E11,E11,0
10,58.7,2005-01-15,E,E10,E10,0
1,24.9,2005-01-16,E,E1,E1,0
11,16.0,2005-01-16,E,E11,E11,0
1,12.0,2005-01-17,E,E1,E1,0
7,42.0,2005-01-18,E,E7,E7,0
7,27.8,2005-01-19,E,E7,E7,1
7,,2005-01-20,V,V7,V7,1
14,10.0,2005-01-21,E,E14,E14,1
11,29.0,2005-01-22,E,E11,E11,1
6,11.0,2005-01-23,E,E6,E6,1
10,30.0,2005-01-24,E,E10,E10,1
14,16.9,2005-01-24,E,E14,E14,1
11,,2005-01-25,V,V11,V11,1
6,,2005-01-25,V,V6,V6,1
10,22.2,2005-01-26,E,E10,E10,1
14,10.0,2005-01-28,E,E14,E14,2
14,10.0,2005-01-28,E,E14,E14,2
7,,2005-01-29,V,V7,V7,2
11,,2005-01-30,V,V11,V11,2
1,158.7,2005-02-02,E,E1,E1D,2
1,142.7,2005-02-05,E,E1,E1D,3
10,30.0,2005-02-05,E,E10,E10,3
6,525.0,2005-02-05,E,E6,E6DD,3
6,,2005-02-06,V,V6,V6,3
11,36.5,2005-02-07,E,E11,E11,3
11,206.3,2005-02-08,E,E11,E11D,3
1,24.0,2005-02-09,E,E1,E1,0
10,44.5,2005-02-09,E,E10,E10,0
11,9.0,2005-02-10,E,E11,E11,0
13,22.0,2005-02-14,E,E13,E13,0
6,39.7,2005-02-15,E,E6,E6,0
3,10.0,2005-02-16,E,E3,E3,0
2,,2005-02-17,V,V2,V2,1
6,10.0,2005-02-19,E,E6,E6,1
13,14.0,2005-02-22,E,E13,E13,1
11,10.0,2005-02-23,E,E11,E11,1
5,,2005-02-23,V,V5,V5,1
10,36.0,2005-02-26,E,E10,E10,2
6,201.7,2005-03-02,E,E6,E6D,2
11,,2005-03-02,V,V11,V11,2
14,,2005-03-04,V,V14,V14,2
11,10.0,2005-03-06,E,E11,E11,3
5,10.0,2005-03-06,E,E5,E5,3
7,,2005-03-12,V,V7,V7,0
13,54.0,2005-03-13,E,E13,E13,0
5,,2005-03-13,V,V5,V5,0
14,197.4,2005-03-17,E,E14,E14D,0
11,18.0,2005-03-19,E,E11,E11,1
11,598.7,2005-03-19,E,E11,E11DD,1
8,10.0,2005-03-20,E,E8,E8,1
3,570.1,2005-03-21,E,E3,E3DD,1
3,579.1,2005-03-21,E,E3,E3DD,1
6,10.0,2005-03-26,E,E6,E6,1
11,,2005-03-27,V,V11,V11,2
10,30.0,2005-03-28,E,E10,E10,2
10,36.1,2005-03-28,E,E10,E10,2
10,22.0,2005-03-30,E,E10,E10,2
11,588.7,2005-03-30,E,E11,E11DD,2
11,10.0,2005-03-31,E,E11,E11,2
5,10.0,2005-04-02,E,E5,E5,2
10,30.0,2005-04-03,E,E10,E10,2
10,36.0,2005-04-03,E,E10,E10,2
13,11.0,2005-04-07,E,E13,E13,3
10,20.9,2005-04-08,E,E10,E10,3
11,10.0,2005-04-08,E,E11,E11,3
10,19.0,2005-04-10,E,E10,E10,0
10,30.0,2005-04-10,E,E10,E10,0
10,30.0,2005-04-10,E,E10,E10,0
10,24.0,2005-04-11,E,E10,E10,0
11,68.0,2005-04-11,E,E11,E11,0
11,11.4,2005-04-11,E,E11,E11,0
14,129.9,2005-04-11,E,E14,E14D,0
10,,2005-04-12,V,V10,V10,0
7,,2005-04-12,V,V7,V7,0
8,,2005-04-14,V,V8,V8,0
14,,2005-04-15,V,V14,V14,0
10,31.0,2005-04-16,E,E10,E10,0
2,,2005-04-16,V,V2,V2,0
11,,2005-04-19,V,V11,V11,1
6,,2005-04-19,V,V6,V6,1
10,22.0,2005-04-28,E,E10,E10,2
3,,2005-05-04,V,V3,V3,3
14,18.0,2005-05-05,E,E14,E14,3
10,17.0,2005-05-10,E,E10,E10,0
4,10.0,2005-05-12,E,E4,E4,0
14,,2005-05-13,V,V14,V14,0
10,34.0,2005-05-14,E,E10,E10,0
11,34.0,2005-05-16,E,E11,E11,0
10,2.5,2005-05-18,E,E10,E10,1
11,10.0,2005-05-18,E,E11,E11,1
3,102.2,2005-05-18,E,E3,E3D,1
10,30.0,2005-05-19,E,E10,E10,1
11,565.3,2005-05-20,E,E11,E11DD,1
14,39.5,2005-05-21,E,E14,E14,1
10,,2005-05-26,V,V10,V10,2
3,196.2,2005-06-02,E,E3,E3D,3
11,26.0,2005-06-04,E,E11,E11,3
10,23.5,2005-06-08,E,E10,E10,0
3,94.1,2005-06-12,E,E3,E3D,0
3,115.6,2005-06-13,E,E3,E3D,0
5,17.0,2005-06-14,E,E5,E5,0
0,16.0,2005-06-15,E,E0,E0,1
11,74.6,2005-06-15,E,E11,E11D,1
3,10.0,2005-06-15,E,E3,E3,1
14,,2005-06-16,V,V14,V14,1
0,12.0,2005-06-17,E,E0,E0,1
0,20.0,2005-06-27,E,E0,E0,2
14,27.0,2005-07-02,E,E14,E14,3
1,,2005-07-02,V,V1,V1,3
2,10.0,2005-07-04,E,E2,E2,3
10,21.0,2005-07-05,E,E10,E10,3
4,10.0,2005-07-10,E,E4,E4,0
11,10.0,2005-07-11,E,E11,E11,0
2,,2005-07-12,V,V2,V2,0
11,10.0,2005-07-23,E,E11,E11,2
10,16.0,2005-07-24,E,E10,E10,2
14,,2005-07-28,V,V14,V14,2
11,10.0,2005-07-30,E,E11,E11,2
0,,2005-08-01,V,V0,V0,3
14,14.0,2005-08-03,E,E14,E14,3
11,205.4,2005-08-06,E,E11,E11D,0
11,10.0,2005-08-07,E,E11,E11,0
2,10.0,2005-08-07,E,E2,E2,0
11,23.6,2005-08-09,E,E11,E11,0
11,35.0,2005-08-09,E,E11,E11,0
11,10.0,2005-08-11,E,E11,E11,0
1,48.6,2005-08-13,E,E1,E1,0
7,36.0,2005-08-16,E,E7,E7,1
8,,2005-08-17,V,V8,V8,1
7,10.0,2005-08-24,E,E7,E7,2
13,10.0,2005-08-26,E,E13,E13,2
14,10.0,2005-08-27,E,E14,E14,2
7,21.1,2005-08-30,E,E7,E7,3
6,443.9,2005-09-04,E,E6,E6DD,0
4,10.0,2005-09-05,E,E4,E4,0
5,,2005-09-07,V,V5,V5,0
11,90.0,2005-09-09,E,E11,E11D,0
7,103.0,2005-09-21,E,E7,E7D,2
11,30.0,2005-09-25,E,E11,E11,2
14,115.0,2005-09-26,E,E14,E14D,2
13,,2005-09-26,V,V13,V13,2
11,25.0,2005-09-29,E,E11,E11,3
11,28.0,2005-09-29,E,E11,E11,3
3,,2005-10-02,V,V3,V3,3
2,,2005-10-04,V,V2,V2,0
13,26.0,2005-10-08,E,E13,E13,0
13,8.0,2005-10-08,E,E13,E13,0
7,42.8,2005-10-15,E,E7,E7,1
8,192.0,2005-10-15,E,E8,E8D,1
11,,2005-10-16,V,V11,V11,1
7,32.0,2005-10-19,E,E7,E7,1
14,,2005-10-22,V,V14,V14,2
11,,2005-10-27,V,V11,V11,2
2,8.0,2005-10-29,E,E2,E2,3
11,25.0,2005-11-05,E,E11,E11,0
14,,2005-11-13,V,V14,V14,1
7,11.0,2005-11-14,E,E7,E7,1
3,147.0,2005-11-17,E,E3,E3D,1
10,21.0,2005-11-19,E,E10,E10,2
5,30.0,2005-11-20,E,E5,E5,2
8,145.0,2005-11-21,E,E8,E8D,2
11,68.0,2005-11-22,E,E11,E11,2
14,,2005-11-24,V,V14,V14,2
2,,2005-11-24,V,V2,V2,2
11,,2005-11-27,V,V11,V11,3
1,11.0,2005-11-28,E,E1,E1,3
7,,2005-11-29,V,V7,V7,3
6,13.0,2005-11-30,E,E6,E6,3
7,29.0,2005-12-02,E,E7,E7,0
2,22.0,2005-12-05,E,E2,E2,0
11,21.0,2005-12-07,E,E11,E11,0
11,216.8,2005-12-08,E,E11,E11D,0
5,,2005-12-09,V,V5,V5,0
11,17.0,2005-12-11,E,E11,E11,1
13,224.6,2005-12-12,E,E13,E13D,1
11,10.0,2005-12-13,E,E11,E11,1
7,42.9,2005-12-16,E,E7,E7,1
9,,2005-12-16,V,V9,V9,1
1,22.8,2005-12-20,E,E1,E1,2
14,7.0,2005-12-21,E,E14,E14,2
6,25.0,2005-12-21,E,E6,E6,2
4,10.0,2005-12-22,E,E4,E4,2
6,,2005-12-22,V,V6,V6,2
14,192.9,2005-12-23,E,E14,E14D,2
6,,2005-12-26,V,V6,V6,3
14,10.0,2005-12-30,E,E14,E14,3
11,582.9,2006-01-02,E,E11,E11DD,0
3,13.0,2006-01-02,E,E3,E3,0
0,14.0,2006-01-04,E,E0,E0,0
14,7.4,2006-01-06,E,E14,E14,0
9,66.0,2006-01-08,E,E9,E9,0
6,264.8,2006-01-15,E,E6,E6D,1
11,23.0,2006-01-23,E,E11,E11,2
14,14.0,2006-01-23,E,E14,E14,2
6,397.0,2006-01-27,E,E6,E6DD,3
11,,2006-02-01,V,V11,V11,0
11,597.5,2006-02-02,E,E11,E11DD,0
10,19.0,2006-02-03,E,E10,E10,0
5,,2006-02-06,V,V5,V5,0
1,40.0,2006-02-14,E,E1,E1,1
7,,2006-02-17,V,V7,V7,2
11,44.2,2006-02-18,E,E11,E11,2
8,,2006-02-21,V,V8,V8,2
2,11.0,2006-02-22,E,E2,E2,2
2,10.0,2006-02-23,E,E2,E2,3
11,622.4,2006-02-24,E,E11,E11DD,3
11,535.2,2006-02-26,E,E11,E11DD,3
11,32.5,2006-02-26,E,E11,E11,3
13,18.0,2006-02-28,E,E13,E13,3
10,,2006-03-01,V,V10,V10,0
11,,2006-03-01,V,V11,V11,0
3,10.0,2006-03-03,E,E3,E3,0
5,,2006-03-03,V,V5,V5,0
11,205.8,2006-03-05,E,E11,E11D,0
2,10.0,2006-03-06,E,E2,E2,0
11,136.2,2006-03-07,E,E11,E11D,0
14,10.0,2006-03-09,E,E14,E14,1
3,10.0,2006-03-10,E,E3,E3,1
2,,2006-03-11,V,V2,V2,1
6,30.1,2006-03-14,E,E6,E6,1
11,,2006-03-17,V,V11,V11,2
1,,2006-03-20,V,V1,V1,2
6,,2006-03-21,V,V6,V6,2
7,,2006-03-21,V,V7,V7,2
11,10.0,2006-03-24,E,E11,E11,2
6,12.0,2006-03-24,E,E6,E6,2
14,,2006-03-24,V,V14,V14,2
3,,2006-03-25,V,V3,V3,3
11,13.0,2006-03-31,E,E11,E11,0
13,7.0,2006-03-31,E,E13,E13,0
6,37.0,2006-03-31,E,E6,E6,0
8,9.0,2006-04-01,E,E8,E8,0
7,,2006-04-01,V,V7,V7,0
0,33.5,2006-04-04,E,E0,E0,0
11,14.0,2006-04-07,E,E11,E11,1
7,28.8,2006-04-12,E,E7,E7,1
3,19.8,2006-04-15,E,E3,E3,2
11,16.0,2006-04-17,E,E11,E11,2
3,,2006-04-18,V,V3,V3,2
10,17.0,2006-04-19,E,E10,E10,2
5,22.0,2006-04-20,E,E5,E5,2
5,10.0,2006-04-20,E,E5,E5,2
5,9.0,2006-04-21,E,E5,E5,2
5,12.0,2006-04-21,E,E5,E5,2
10,21.0,2006-04-25,E,E10,E10,3
11,10.0,2006-04-26,E,E11,E11,3
5,11.0,2006-04-29,E,E5,E5,0
11,127.7,2006-04-30,E,E11,E11D,0
11,10.0,2006-04-30,E,E11,E11,0
3,12.0,2006-04-30,E,E3,E3,0
3,12.0,2006-04-30,E,E3,E3,0
11,55.0,2006-05-03,E,E11,E11,0
11,11.0,2006-05-04,E,E11,E11,0
2,10.0,2006-05-06,E,E2,E2,1
2,10.0,2006-05-07,E,E2,E2,1
5,18.0,2006-05-10,E,E5,E5,1
10,12.0,2006-05-16,E,E10,E10,2
11,152.0,2006-05-16,E,E11,E11D,2
11,11.0,2006-05-17,E,E11,E11,2
6,35.0,2006-05-19,E,E6,E6,2
14,10.0,2006-05-21,E,E14,E14,2
5,19.0,2006-05-22,E,E5,E5,3
6,2.8,2006-05-22,E,E6,E6,3
7,197.0,2006-05-22,E,E7,E7D,3
